cell	head	open	close	gate	excess	mark	spread	category	meas_overlap	bringup_overlap
e_bl_1024_1	23:26:18	23:27:30	23:32:35	GREEN	-0.417	OK	26.260	KNOWN-OVERLAP	A:305s	A:72s
e_p_1024_1	23:32:35	23:33:52	23:38:56	GREEN	-0.465	OK	22.710	KNOWN-OVERLAP	A:304s	A:77s
e_bl_1024_2	23:38:56	23:40:21	23:45:25	GREEN	-0.473	OK	23.270	KNOWN-OVERLAP	A:304s	A:85s
e_p_1024_2	23:45:25	23:46:50	23:51:54	GREEN	-0.267	OK	23.790	BRINGUP-ONLY	-	A:35s
e_bl_1024_3	23:51:54	23:53:11	23:58:15	GREEN	-0.533	OK	23.530	UNKNOWN	-	-
e_p_1024_3	23:58:15	23:59:40	00:04:44	GREEN	-0.485	OK	24.050	UNKNOWN	-	-
e_bl_0256_1	00:05:01	00:06:13	00:11:18	GREEN	-0.553	OK	11.580	UNKNOWN	-	-
e_p_0256_1	00:11:18	00:12:42	00:17:47	GREEN	-0.559	OK	11.870	UNKNOWN	-	-
e_bl_0256_2	00:17:47	00:19:11	00:24:16	GREEN	-0.577	OK	12.260	UNKNOWN	-	-
e_p_0256_2	00:24:16	00:25:40	00:30:45	GREEN	-0.578	OK	11.610	UNKNOWN	-	-
e_bl_0256_3	00:30:45	00:32:01	00:37:06	GREEN	-0.541	OK	11.910	UNKNOWN	-	-
e_p_0256_3	00:37:06	00:38:22	00:43:27	GREEN	-0.542	OK	12.590	UNKNOWN	-	-
e_bl_0064_1	00:43:43	00:44:48	00:49:52	GREEN	-0.579	OK	6.688	UNKNOWN	-	-
e_p_0064_1	00:49:53	00:51:17	00:56:21	GREEN	-0.602	OK	6.746	UNKNOWN	-	-
e_bl_0064_2	00:56:22	00:57:38	01:02:42	GREEN	-0.609	OK	7.147	UNKNOWN	-	-
e_p_0064_2	01:02:43	01:03:59	01:09:03	GREEN	-0.130	OK	6.499	UNKNOWN	-	-
e_bl_0064_3	01:09:04	01:10:20	01:15:24	GREEN	-0.020	OK	6.053	KNOWN-OVERLAP	B:144s	-
e_p_0064_3	01:15:25	01:16:49	01:21:54	GREEN	0.138	OK	8.100	KNOWN-OVERLAP	B:305s	B:84s
e_bl_0032_1	01:22:11	01:23:23	01:28:28	GREEN	-0.177	OK	4.290	BRINGUP-ONLY	-	B:49s
e_p_0032_1	01:28:28	01:29:53	01:34:57	GREEN	-0.481	OK	5.350	UNKNOWN	-	-
e_bl_0032_2	01:34:57	01:36:14	01:41:18	GREEN	-0.506	OK	4.698	UNKNOWN	-	-
e_p_0032_2	01:41:18	01:42:43	01:47:47	GREEN	-0.496	OK	5.241	UNKNOWN	-	-
e_bl_0032_3	01:47:48	01:49:04	01:54:08	GREEN	-0.487	OK	6.981	UNKNOWN	-	-
e_p_0032_3	01:54:09	01:55:25	02:00:29	GREEN	-0.446	OK	5.605	UNKNOWN	-	-
e_bl_0016_1	02:00:46	02:01:59	02:07:03	GREEN	-0.427	OK	4.810	UNKNOWN	-	-
e_p_0016_1	02:18:48	02:20:00	02:25:04	GREEN	-0.567	OK	5.464	UNKNOWN	-	-
e_bl_0016_2	02:25:05	02:26:21	02:31:26	GREEN	-0.584	OK	4.028	UNKNOWN	-	-
e_p_0016_2	02:31:26	02:32:42	02:37:47	GREEN	-0.592	OK	5.948	UNKNOWN	-	-
e_bl_0016_3	02:37:47	02:39:11	02:44:16	GREEN	-0.594	OK	6.143	UNKNOWN	-	-
e_p_0016_3	02:44:16	02:45:41	02:50:45	GREEN	-0.605	OK	6.002	UNKNOWN	-	-
e_bl_0008_1	02:51:02	02:52:14	02:57:19	GREEN	-0.554	OK	5.863	UNKNOWN	-	-
e_p_0008_1	02:57:19	02:58:46	03:03:50	GREEN	-0.592	OK	5.864	UNKNOWN	-	-
e_bl_0008_2	03:03:51	03:05:07	03:10:12	GREEN	-0.577	OK	6.040	UNKNOWN	-	-
e_p_0008_2	03:10:12	03:11:39	03:16:43	GREEN	-0.581	OK	5.506	UNKNOWN	-	-
e_bl_0008_3	03:16:44	03:18:00	03:23:04	GREEN	-0.590	OK	7.151	UNKNOWN	-	-
e_p_0008_3	03:23:05	03:24:32	03:29:36	GREEN	-0.578	OK	6.252	UNKNOWN	-	-
e_bl_0004_1	03:29:53	03:30:58	03:36:04	GREEN	-0.529	DATAPLANE-HURT	30.530	UNKNOWN	-	-
e_p_0004_1	03:36:05	03:37:21	03:42:26	GREEN	-0.542	DATAPLANE-HURT	23.770	UNKNOWN	-	-
e_bl_0004_2	03:42:26	03:43:50	03:48:55	GREEN	-0.577	DATAPLANE-HURT	27.950	UNKNOWN	-	-
e_p_0004_2	03:48:55	03:50:13	03:55:17	GREEN	-0.577	DATAPLANE-HURT	28.540	UNKNOWN	-	-
e_bl_0004_3	03:55:18	03:56:43	04:01:47	GREEN	-0.590	DATAPLANE-HURT	31.670	UNKNOWN	-	-
e_p_0004_3	04:01:48	04:03:13	04:08:17	GREEN	-0.590	DATAPLANE-HURT	35.220	UNKNOWN	-	-
e_bl_0001_1	04:08:36	04:09:49	04:14:56	GREEN	-0.575	DATAPLANE-HURT	63.070	UNKNOWN	-	-
e_p_0001_1	04:14:57	04:16:21	04:21:27	GREEN	-0.593	DATAPLANE-HURT	62.530	UNKNOWN	-	-
e_bl_0001_2	04:21:28	04:22:53	04:27:57	GREEN	-0.590	DATAPLANE-HURT	52.530	UNKNOWN	-	-
e_p_0001_2	04:27:58	04:29:24	04:34:29	GREEN	-0.550	DATAPLANE-HURT	49.800	UNKNOWN	-	-
e_bl_0001_3	04:34:29	04:35:48	04:40:56	GREEN	-0.603	DATAPLANE-HURT	62.460	UNKNOWN	-	-
e_p_0001_3	04:40:56	04:42:21	04:47:25	GREEN	-0.596	DATAPLANE-HURT	54.750	UNKNOWN	-	-
