NXST_FLOW reply (xid=0x4):
 cookie=0x0, duration=500.919s, table=0, n_packets=605, n_bytes=36300, idle_age=0, priority=65535,dl_dst=01:80:c2:00:00:0e,dl_type=0x88cc actions=CONTROLLER:65535
 cookie=0x0, duration=478.827s, table=0, n_packets=0, n_bytes=0, idle_age=479, priority=10,ip,nw_dst=10.0.0.1 actions=output:3
 cookie=0x0, duration=478.827s, table=0, n_packets=0, n_bytes=0, idle_age=479, priority=10,ip,nw_dst=10.0.0.2 actions=output:4
 cookie=0x0, duration=478.827s, table=0, n_packets=0, n_bytes=0, idle_age=479, priority=10,ip,nw_dst=10.0.0.3 actions=output:5
 cookie=0x0, duration=478.827s, table=0, n_packets=0, n_bytes=0, idle_age=479, priority=10,ip,nw_dst=10.0.0.4 actions=output:6
 cookie=0x0, duration=478.827s, table=0, n_packets=0, n_bytes=0, idle_age=479, priority=10,ip,nw_dst=10.0.0.5 actions=output:7
 cookie=0x0, duration=478.827s, table=0, n_packets=0, n_bytes=0, idle_age=479, priority=10,ip,nw_dst=10.0.0.6 actions=output:8
 cookie=0x0, duration=478.827s, table=0, n_packets=0, n_bytes=0, idle_age=479, priority=10,ip,nw_dst=10.0.0.7 actions=output:9
 cookie=0x0, duration=478.827s, table=0, n_packets=0, n_bytes=0, idle_age=479, priority=10,ip,nw_dst=10.0.0.8 actions=output:10
 cookie=0x0, duration=478.827s, table=0, n_packets=0, n_bytes=0, idle_age=479, priority=10,ip,nw_dst=10.0.0.9 actions=output:11
 cookie=0x0, duration=478.827s, table=0, n_packets=0, n_bytes=0, idle_age=479, priority=10,ip,nw_dst=10.0.0.10 actions=output:12
 cookie=0x0, duration=478.827s, table=0, n_packets=0, n_bytes=0, idle_age=479, priority=10,ip,nw_dst=10.0.0.11 actions=output:13
 cookie=0x0, duration=478.827s, table=0, n_packets=0, n_bytes=0, idle_age=479, priority=10,ip,nw_dst=10.0.0.12 actions=output:14
 cookie=0x0, duration=478.827s, table=0, n_packets=0, n_bytes=0, idle_age=479, priority=10,ip,nw_dst=10.0.0.13 actions=output:15
 cookie=0x0, duration=478.827s, table=0, n_packets=0, n_bytes=0, idle_age=479, priority=10,ip,nw_dst=10.0.0.14 actions=output:16
 cookie=0x0, duration=478.827s, table=0, n_packets=0, n_bytes=0, idle_age=479, priority=10,ip,nw_dst=10.0.0.15 actions=output:17
 cookie=0x0, duration=478.827s, table=0, n_packets=0, n_bytes=0, idle_age=479, priority=10,ip,nw_dst=10.0.0.16 actions=output:18
 cookie=0x0, duration=478.770s, table=0, n_packets=0, n_bytes=0, idle_age=479, priority=10,ip,nw_dst=10.0.0.17 actions=output:19
 cookie=0x0, duration=478.770s, table=0, n_packets=0, n_bytes=0, idle_age=479, priority=10,ip,nw_dst=10.0.0.18 actions=output:20
 cookie=0x0, duration=478.770s, table=0, n_packets=0, n_bytes=0, idle_age=479, priority=10,ip,nw_dst=10.0.0.19 actions=output:21
 cookie=0x0, duration=478.770s, table=0, n_packets=0, n_bytes=0, idle_age=479, priority=10,ip,nw_dst=10.0.0.20 actions=output:22
 cookie=0x0, duration=478.770s, table=0, n_packets=0, n_bytes=0, idle_age=479, priority=10,ip,nw_dst=10.0.0.21 actions=output:23
 cookie=0x0, duration=478.770s, table=0, n_packets=0, n_bytes=0, idle_age=479, priority=10,ip,nw_dst=10.0.0.22 actions=output:24
 cookie=0x0, duration=478.770s, table=0, n_packets=0, n_bytes=0, idle_age=479, priority=10,ip,nw_dst=10.0.0.23 actions=output:25
 cookie=0x0, duration=478.770s, table=0, n_packets=0, n_bytes=0, idle_age=479, priority=10,ip,nw_dst=10.0.0.24 actions=output:26
 cookie=0x0, duration=478.770s, table=0, n_packets=0, n_bytes=0, idle_age=479, priority=10,ip,nw_dst=10.0.0.25 actions=output:27
 cookie=0x0, duration=478.770s, table=0, n_packets=0, n_bytes=0, idle_age=479, priority=10,ip,nw_dst=10.0.0.26 actions=output:28
 cookie=0x0, duration=478.770s, table=0, n_packets=0, n_bytes=0, idle_age=479, priority=10,ip,nw_dst=10.0.0.27 actions=output:29
 cookie=0x0, duration=478.770s, table=0, n_packets=0, n_bytes=0, idle_age=479, priority=10,ip,nw_dst=10.0.0.28 actions=output:30
 cookie=0x0, duration=478.770s, table=0, n_packets=0, n_bytes=0, idle_age=479, priority=10,ip,nw_dst=10.0.0.29 actions=output:31
 cookie=0x0, duration=478.770s, table=0, n_packets=0, n_bytes=0, idle_age=479, priority=10,ip,nw_dst=10.0.0.30 actions=output:32
 cookie=0x0, duration=478.770s, table=0, n_packets=0, n_bytes=0, idle_age=479, priority=10,ip,nw_dst=10.0.0.31 actions=output:33
 cookie=0x0, duration=478.728s, table=0, n_packets=0, n_bytes=0, idle_age=479, priority=10,ip,nw_dst=10.0.0.32 actions=output:34
 cookie=0x0, duration=478.728s, table=0, n_packets=0, n_bytes=0, idle_age=479, priority=10,ip,nw_dst=10.0.0.33 actions=output:2
 cookie=0x0, duration=478.728s, table=0, n_packets=0, n_bytes=0, idle_age=479, priority=10,ip,nw_dst=10.0.0.34 actions=output:1
 cookie=0x0, duration=478.728s, table=0, n_packets=0, n_bytes=0, idle_age=479, priority=10,ip,nw_dst=10.0.0.35 actions=output:1
