time      lines    s1 s2 s3 s4 s5 s6 s7 s8 s9 s10
02:17:52  lines=715   130 130 2 130 2 2 2 2 2 2 
02:18:22  lines=715   130 130 2 130 2 2 2 2 2 2 
02:18:53  lines=715   130 130 2 130 2 2 2 2 2 2 
02:19:24  lines=715   130 130 2 130 2 2 2 2 2 2 
02:19:55  lines=715   130 130 2 130 2 2 2 2 2 2 
02:20:25  lines=715   130 130 2 130 2 2 2 2 2 2 
02:20:56  lines=42    130 130 2 130 2 2 2 2 2 2 
02:21:27  lines=42    130 130 2 130 2 2 2 2 2 2 
02:21:58  lines=637   130 130 2 130 2 130 130 130 2 2 
02:22:29  lines=637   130 130 2 130 2 130 130 130 2 2 
02:22:59  lines=637   130 130 2 130 2 130 130 130 2 2 
02:23:30  lines=637   130 130 2 130 2 130 130 130 2 2 
02:24:01  lines=637   130 130 2 130 2 130 130 130 2 2 
02:24:32  lines=637   130 130 2 130 2 130 130 130 2 2 
02:25:03  lines=643   130 130 3 130 2 131 130 130 2 2 
02:25:33  lines=649   130 130 3 130 2 131 130 130 2 2 
