kpps_offered	reps	loss_scored	loss_reps	sent_pps	recv_pps	clean
1	1	0.0000	0.0000	999.9	999.9	yes
2	1	0.0000	0.0000	1999.8	1999.5	yes
3	1	0.0000	0.0000	2999.6	2999.0	yes
5	1	0.0000	0.0000	4999.2	4998.9	yes
8	1	0.0000	0.0000	7998.7	7998.0	yes
12	1	0.0000	0.0000	11998.1	11996.9	yes
20	3	0.0269	0.0269,0.1625,0.0138	19996.7	19994.9	yes
30	3	0.2754	0.2754,0.1388,0.2800	29995.2	29988.4	yes
45	1	11.3307	11.3307	44992.4	44987.0	no
70	1	29.1328	29.1328	69989.6	69984.3	no
110	1	48.8778	48.8778	109983.4	109973.7	no
