kpps_offered	reps	loss_scored	loss_reps	sent_pps	recv_pps	clean
1	1	0.0000	0.0000	1000.0	999.8	yes
2	1	0.0000	0.0000	1999.7	1999.4	yes
3	1	0.0000	0.0000	2999.5	2999.3	yes
5	1	0.0000	0.0000	4999.2	4998.6	yes
8	1	0.0000	0.0000	7998.7	7998.1	yes
12	1	0.0000	0.0000	11998.1	11997.2	yes
20	3	0.0175	0.1156,0.0056,0.0175	19996.6	19994.9	yes
30	3	0.0408	0.0546,0.0292,0.0408	29995.1	29990.1	yes
45	1	11.0859	11.0859	44992.8	44982.8	no
70	1	30.3858	30.3858	69989.3	69977.4	no
110	1	50.4658	50.4658	109985.2	109959.5	no
