kpps	rep	t_start	t_end	loss	sent_pps	recv_pps
1	1	1789816556.305310386	1789816564.326108332	0.0000	1000.0	999.8
2	1	1789816565.410555320	1789816573.438734657	0.0000	1999.7	1999.4
3	1	1789816574.524788654	1789816582.549013938	0.0000	2999.5	2999.3
5	1	1789816583.637487137	1789816591.663665216	0.0000	4999.2	4998.6
8	1	1789816592.752424392	1789816600.775191648	0.0000	7998.7	7998.1
12	1	1789816601.868754962	1789816609.890255282	0.0000	11998.1	11997.2
20	1	1789816610.982214228	1789816619.004127331	0.1156	19997.0	19995.3
20	2	1789816620.041749686	1789816628.063254193	0.0056	19996.4	19994.8
20	3	1789816629.096054603	1789816637.118018905	0.0175	19996.4	19994.5
30	1	1789816638.205243753	1789816646.230712807	0.0546	29995.3	29990.4
30	2	1789816647.265324271	1789816655.292685500	0.0292	29995.5	29989.9
30	3	1789816656.332502552	1789816664.363241052	0.0408	29994.6	29989.9
45	1	1789816665.448119455	1789816673.477501991	11.0859	44992.8	44982.8
70	1	1789816674.556866194	1789816682.585114076	30.3858	69989.3	69977.4
110	1	1789816683.674125613	1789816691.702410133	50.4658	109985.2	109959.5
30	c1	1789816692.778200472	1789816700.805545051	0.4696	29995.1	29991.4
30	c2	1789816701.845157750	1789816709.871454675	0.1963	29995.8	29991.3
30	c3	1789816710.907050817	1789816718.931298686	0.0392	29995.1	29991.1
