kpps	rep	t_start	t_end	loss	sent_pps	recv_pps
1	1	1789817377.761165119	1789817385.789562327	0.0000	999.9	999.9
2	1	1789817386.874166287	1789817394.900079493	0.0000	1999.8	1999.5
3	1	1789817395.986443051	1789817404.010453701	0.0000	2999.6	2999.4
5	1	1789817405.091563798	1789817413.119197873	0.0000	4999.3	4998.6
8	1	1789817414.213949570	1789817422.239587077	0.0000	7998.7	7997.8
12	1	1789817423.339428055	1789817431.364756977	0.0000	11997.9	11996.2
20	1	1789817432.448191059	1789817440.475764962	0.0006	19996.7	19994.0
20	2	1789817441.512721559	1789817449.538224643	0.6644	19997.2	19994.1
20	3	1789817450.576060529	1789817458.600603531	0.0419	19997.2	19994.3
30	1	1789817459.691853713	1789817467.718234093	0.0921	29995.4	29990.4
30	2	1789817468.750594917	1789817476.777145059	0.0796	29994.9	29990.3
30	3	1789817477.811300971	1789817485.833745983	0.1204	29995.2	29992.6
45	1	1789817486.930916976	1789817494.955042751	6.3340	44993.7	44986.4
70	1	1789817496.044565662	1789817504.071406365	27.7340	69990.4	69976.7
110	1	1789817505.173032380	1789817513.198583647	51.7637	109991.2	109962.9
30	c1	1789817514.275391213	1789817522.301682675	0.5884	29994.9	29989.5
30	c2	1789817523.337021076	1789817531.365976719	0.0879	29995.0	29990.5
30	c3	1789817532.403067261	1789817540.429629925	0.1875	29995.0	29990.6
