kpps_offered	reps	loss_scored	loss_reps	sent_pps	recv_pps	clean
1	1	0.0000	0.0000	999.9	999.8	yes
2	1	0.0000	0.0000	1999.8	1999.6	yes
3	1	0.0000	0.0000	2999.6	2999.2	yes
5	1	0.0000	0.0000	4999.2	4998.8	yes
8	1	0.0000	0.0000	7998.8	7998.3	yes
12	1	0.0000	0.0000	11997.9	11996.0	yes
20	3	0.0013	0.0094,0.0000,0.0013	19996.6	19993.0	yes
30	3	0.0633	0.0633,0.0392,0.0642	29995.5	29990.3	yes
45	1	8.8087	8.8087	44992.8	44987.8	no
70	1	28.1594	28.1594	69989.9	69975.7	no
110	1	48.6923	48.6923	109986.0	109965.5	no
