kpps	rep	t_start	t_end	loss	sent_pps	recv_pps
1	1	1789817834.162210769	1789817842.188812363	0.0000	999.9	999.8
2	1	1789817843.292235820	1789817851.312084837	0.0000	1999.8	1999.6
3	1	1789817852.395965573	1789817860.420422550	0.0000	2999.6	2999.2
5	1	1789817861.514923700	1789817869.540250098	0.0000	4999.2	4998.8
8	1	1789817870.624444117	1789817878.648124899	0.0000	7998.8	7998.3
12	1	1789817879.730332684	1789817887.758766160	0.0000	11997.9	11996.0
20	1	1789817888.851519787	1789817896.884549126	0.0094	19996.5	19992.5
20	2	1789817897.918915795	1789817905.947621309	0.0000	19996.6	19993.2
20	3	1789817906.981120475	1789817915.011613004	0.0013	19996.8	19993.3
30	1	1789817916.096001044	1789817924.125495835	0.0633	29995.1	29989.8
30	2	1789817925.158724103	1789817933.186952923	0.0392	29995.9	29991.1
30	3	1789817934.221218145	1789817942.251553855	0.0642	29995.4	29990.0
45	1	1789817943.337825970	1789817951.366562558	8.8087	44992.8	44987.8
70	1	1789817952.450114614	1789817960.474279919	28.1594	69989.9	69975.7
110	1	1789817961.579336917	1789817969.604305469	48.6923	109986.0	109965.5
30	c1	1789817970.682114616	1789817978.706940195	0.0783	29995.0	29991.2
30	c2	1789817979.741656358	1789817987.773569010	0.0496	29995.0	29989.1
30	c3	1789817988.812320789	1789817996.842877607	0.0242	29995.9	29988.4
