kpps_offered	reps	loss_scored	loss_reps	sent_pps	recv_pps	clean
1	1	0.0000	0.0000	999.9	999.8	yes
2	1	0.0000	0.0000	1999.8	1999.4	yes
3	1	0.0000	0.0000	2999.6	2999.2	yes
5	1	0.0000	0.0000	4999.2	4998.7	yes
8	1	0.0000	0.0000	7998.8	7997.8	yes
12	1	0.0000	0.0000	11998.0	11996.6	yes
20	3	0.0069	0.0113,0.0069,0.0025	19996.7	19993.8	yes
30	3	0.1438	0.1438,0.1775,0.0983	29994.9	29990.8	yes
45	1	12.4224	12.4224	44993.3	44987.2	no
70	1	32.5052	32.5052	69989.3	69978.7	no
110	1	49.3319	49.3319	109984.7	109964.4	no
