kpps	rep	t_start	t_end	loss	sent_pps	recv_pps
1	1	1789818810.886410945	1789818818.914447013	0.0000	999.9	999.8
2	1	1789818820.006381478	1789818828.036713045	0.0000	1999.8	1999.4
3	1	1789818829.125074509	1789818837.150218817	0.0000	2999.6	2999.2
5	1	1789818838.236562535	1789818846.260816709	0.0000	4999.2	4998.7
8	1	1789818847.350726689	1789818855.376849407	0.0000	7998.8	7997.8
12	1	1789818856.458981338	1789818864.483544798	0.0000	11998.0	11996.6
20	1	1789818865.565572277	1789818873.591894986	0.0113	19997.0	19993.6
20	2	1789818874.629789984	1789818882.656969143	0.0069	19996.9	19993.3
20	3	1789818883.695908151	1789818891.720343012	0.0025	19996.3	19994.4
30	1	1789818892.811776557	1789818900.839501598	0.1438	29994.8	29990.1
30	2	1789818901.874421306	1789818909.894444710	0.1775	29995.2	29992.2
30	3	1789818910.928771029	1789818918.959996955	0.0983	29994.6	29990.0
45	1	1789818920.048768213	1789818928.074910206	12.4224	44993.3	44987.2
70	1	1789818929.161931083	1789818937.188337039	32.5052	69989.3	69978.7
110	1	1789818938.282481025	1789818946.311194135	49.3319	109984.7	109964.4
30	c1	1789818947.389455058	1789818955.417657772	0.1554	29994.9	29990.1
30	c2	1789818956.454257245	1789818964.481206613	0.0738	29995.0	29989.9
30	c3	1789818965.514930474	1789818973.542731782	0.3346	29994.4	29989.2
