kpps	rep	t_start	t_end	loss	sent_pps	recv_pps
1	1	1789815694.177548565	1789815702.202515694	0.0000	999.9	999.8
2	1	1789815703.290731134	1789815711.319381529	0.0000	1999.8	1999.5
3	1	1789815712.408972192	1789815720.433041116	0.0000	2999.6	2999.1
5	1	1789815721.533105366	1789815729.562866451	0.0000	4999.2	4998.2
8	1	1789815730.678893414	1789815738.708779757	0.0000	7998.6	7997.3
12	1	1789815739.857882951	1789815747.884910706	0.2073	11998.0	11995.8
12	2	1789815748.934178629	1789815756.961246996	0.1292	11998.0	11996.4
12	3	1789815758.007142319	1789815766.030667167	0.0188	11998.0	11997.1
12	c1	1789815767.106418341	1789815775.131885615	0.0240	11998.2	11996.9
12	c2	1789815776.180240908	1789815784.206894492	0.0031	11998.1	11996.7
12	c3	1789815785.257337804	1789815793.278904814	0.1583	11998.1	11996.5
