kpps	rep	t_start	t_end	loss	sent_pps	recv_pps
1	1	1789819719.653841692	1789819727.681755077	0.0000	1000.0	999.8
2	1	1789819728.783836142	1789819736.809883664	0.0000	1999.8	1999.5
3	1	1789819737.899072785	1789819745.926269310	0.0000	2999.6	2999.2
5	1	1789819747.009908150	1789819755.041153142	0.0000	4999.2	4998.3
8	1	1789819756.133786630	1789819764.158449846	0.0000	7998.7	7997.5
12	1	1789819765.249904489	1789819773.272126944	0.0010	11998.0	11996.4
12	2	1789819774.304770563	1789819782.332207071	0.0031	11998.0	11995.7
12	3	1789819783.366764563	1789819791.390712304	0.0000	11998.0	11996.5
20	1	1789819792.483061409	1789819800.510188883	0.0194	19996.8	19993.9
20	2	1789819801.546621735	1789819809.579464240	0.6914	19990.2	19979.5
20	3	1789819810.632456684	1789819818.660353986	0.0050	19997.0	19994.1
30	1	1789819819.748847577	1789819827.777022631	0.3338	29994.9	29990.1
30	2	1789819828.811891855	1789819836.840195421	0.1533	29995.3	29989.3
30	3	1789819837.873533666	1789819845.893864434	1.7410	29994.9	29991.4
45	1	1789819846.977992182	1789819854.999564272	7.3388	44992.7	44989.5
70	1	1789819856.097111494	1789819864.124322225	32.4427	69988.5	69975.9
110	1	1789819865.229794768	1789819873.255091252	50.3175	109983.6	109964.1
30	c1	1789819874.330114117	1789819882.351265231	0.9305	29995.0	29991.8
30	c2	1789819883.387900236	1789819891.415015822	0.4000	29995.2	29989.8
30	c3	1789819892.453466103	1789819900.476814582	0.2429	29995.7	29991.4
