kpps_offered	reps	loss_scored	loss_reps	sent_pps	recv_pps	clean
1	1	0.0000	0.0000	1000.0	999.8	yes
2	1	0.0000	0.0000	1999.8	1999.6	yes
3	1	0.0000	0.0000	2999.6	2999.1	yes
5	1	0.0000	0.0000	4999.2	4998.3	yes
8	3	0.1016	0.1016,0.0016,0.2391	7998.7	7997.7	yes
12	3	0.1042	0.1042,0.1198,0.0031	11997.8	11996.4	yes
20	3	0.0569	0.0563,0.0569,0.6107	19996.7	19994.2	yes
30	3	0.0925	0.0925,0.0717,1.6326	29995.5	29991.1	yes
45	1	17.2314	17.2314	44993.2	44981.1	no
70	1	39.7908	39.7908	69988.6	69920.1	no
110	1	54.5479	54.5479	109991.1	109958.0	no
