kpps	rep	t_start	t_end	loss	sent_pps	recv_pps
1	1	1789822146.438195092	1789822154.464674484	0.0000	999.9	999.7
2	1	1789822155.557556415	1789822163.582725051	0.0000	1999.7	1999.6
3	1	1789822164.670530254	1789822172.693839639	0.0000	2999.6	2999.3
5	1	1789822173.782225951	1789822181.803204236	0.2400	4999.2	4998.7
5	2	1789822182.848107007	1789822190.871099005	0.0000	4999.2	4998.9
5	3	1789822191.908853293	1789822199.931588614	0.0000	4999.1	4998.6
8	1	1789822201.041093225	1789822209.060954939	0.0000	7998.6	7997.9
12	1	1789822210.149060315	1789822218.175430049	0.0302	11998.2	11996.8
12	2	1789822219.215315087	1789822227.240279252	0.0000	11998.1	11996.5
12	3	1789822228.274012000	1789822236.297306185	0.2813	11997.7	11995.9
20	1	1789822237.396455012	1789822245.414934534	2.4872	19996.8	19995.5
30	1	1789822246.497765269	1789822254.519647719	0.1058	29995.1	29992.4
30	2	1789822255.551002895	1789822263.571438967	0.5413	29995.2	29991.6
30	3	1789822264.605469385	1789822272.627711740	0.1271	29995.7	29993.3
45	1	1789822273.721481686	1789822281.744197052	5.7053	44993.3	44989.5
70	1	1789822282.837688759	1789822290.857462749	32.0389	69990.6	69982.0
110	1	1789822291.963299503	1789822299.983919369	54.5523	109983.0	109973.6
30	c1	1789822301.065595057	1789822309.088590460	0.4613	29994.6	29992.2
30	c2	1789822310.126572942	1789822318.148142530	0.2688	29995.6	29991.8
30	c3	1789822319.187337749	1789822327.211795919	0.3054	29995.1	29991.7
