kpps	rep	t_start	t_end	loss	sent_pps	recv_pps
1	1	1789819188.634959624	1789819196.652711545	0.0000	1000.0	999.9
2	1	1789819197.739048924	1789819205.759919373	0.0000	1999.8	1999.6
3	1	1789819206.848938929	1789819214.872410287	0.0000	2999.6	2999.1
5	1	1789819215.964231149	1789819223.986050612	0.0000	4999.2	4998.6
8	1	1789819225.078363857	1789819233.099390803	0.0406	7998.6	7997.4
8	2	1789819234.141178242	1789819242.168559647	0.0000	7998.7	7997.8
8	3	1789819243.208815122	1789819251.235725539	0.0250	7998.7	7997.4
12	1	1789819252.323425408	1789819260.351155121	0.0031	11997.9	11993.9
12	2	1789819261.385546994	1789819269.408821168	0.0135	11998.0	11996.6
12	3	1789819270.450418992	1789819278.480577126	0.0167	11998.0	11996.1
12	c1	1789819279.549761210	1789819287.577592432	0.0240	11998.2	11997.0
12	c2	1789819288.614200090	1789819296.644518137	0.0000	11998.0	11994.4
12	c3	1789819297.679721977	1789819305.706740201	0.0052	11998.0	11996.8
