kpps_offered	reps	loss_scored	loss_reps	sent_pps	recv_pps	clean
1	1	0.0000	0.0000	999.9	999.8	yes
2	1	0.0000	0.0000	1999.8	1999.4	yes
3	1	0.0000	0.0000	2999.6	2999.1	yes
5	1	0.0000	0.0000	4999.2	4998.1	yes
8	1	0.0000	0.0000	7998.3	7996.7	yes
12	1	0.0000	0.0000	11998.1	11995.0	yes
20	3	0.5626	0.5626,0.3038,0.8070	19996.6	19992.6	no
30	3	0.2242	0.2188,0.2242,0.2667	29995.5	29992.8	yes
45	1	5.5736	5.5736	44992.8	44986.6	no
70	1	32.7212	32.7212	69990.1	69974.9	no
110	1	54.8937	54.8937	109986.6	109898.8	no
