kpps	rep	t_start	t_end	loss	sent_pps	recv_pps
1	1	1789823503.202283078	1789823511.229427447	0.0000	999.9	999.8
2	1	1789823512.319450066	1789823520.345170248	0.0000	1999.8	1999.4
3	1	1789823521.435512095	1789823529.464959000	0.0000	2999.6	2999.1
5	1	1789823530.551545184	1789823538.583684061	0.0000	4999.2	4998.1
8	1	1789823539.678523728	1789823547.702047953	0.0000	7998.3	7996.7
12	1	1789823548.789884655	1789823556.815794945	0.0000	11998.1	11995.0
20	1	1789823557.898024223	1789823565.926842133	0.5626	19996.8	19992.5
20	2	1789823566.962676753	1789823574.988379566	0.3038	19996.5	19993.0
20	3	1789823576.027904563	1789823584.050517497	0.8070	19996.5	19992.2
30	1	1789823585.133303836	1789823593.154724206	0.2188	29995.2	29992.8
30	2	1789823594.191245316	1789823602.210513114	0.2242	29995.7	29993.1
30	3	1789823603.251172913	1789823611.268986312	0.2667	29995.5	29992.6
45	1	1789823612.368297310	1789823620.392009549	5.5736	44992.8	44986.6
70	1	1789823621.496569608	1789823629.523159484	32.7212	69990.1	69974.9
110	1	1789823630.635840631	1789823638.665303787	54.8937	109986.6	109898.8
30	c1	1789823639.742708341	1789823647.767788406	0.2342	29994.7	29989.4
30	c2	1789823648.804021706	1789823656.834008851	0.2259	29995.2	29991.9
30	c3	1789823657.870490011	1789823665.892773551	0.4396	29995.9	29993.4
