part	poll_mono	written_mono	status	last_heard_mono
quiet	48271.634985	48270.408084	running	1:3>3:1=48269.907748,1:4>4:2=48269.907758,2:3>4:1=48269.907755,2:4>3:2=48269.907751,3:1>1:3=48269.907714,3:2>2:4=48269.907743,4:1>2:3=48269.907739,4:2>1:4=48269.907734
quiet	48271.735246	48270.408084	running	1:3>3:1=48269.907748,1:4>4:2=48269.907758,2:3>4:1=48269.907755,2:4>3:2=48269.907751,3:1>1:3=48269.907714,3:2>2:4=48269.907743,4:1>2:3=48269.907739,4:2>1:4=48269.907734
quiet	48271.835631	48270.408084	running	1:3>3:1=48269.907748,1:4>4:2=48269.907758,2:3>4:1=48269.907755,2:4>3:2=48269.907751,3:1>1:3=48269.907714,3:2>2:4=48269.907743,4:1>2:3=48269.907739,4:2>1:4=48269.907734
quiet	48271.935899	48270.408084	running	1:3>3:1=48269.907748,1:4>4:2=48269.907758,2:3>4:1=48269.907755,2:4>3:2=48269.907751,3:1>1:3=48269.907714,3:2>2:4=48269.907743,4:1>2:3=48269.907739,4:2>1:4=48269.907734
quiet	48272.036240	48270.408084	running	1:3>3:1=48269.907748,1:4>4:2=48269.907758,2:3>4:1=48269.907755,2:4>3:2=48269.907751,3:1>1:3=48269.907714,3:2>2:4=48269.907743,4:1>2:3=48269.907739,4:2>1:4=48269.907734
quiet	48272.136622	48270.408084	running	1:3>3:1=48269.907748,1:4>4:2=48269.907758,2:3>4:1=48269.907755,2:4>3:2=48269.907751,3:1>1:3=48269.907714,3:2>2:4=48269.907743,4:1>2:3=48269.907739,4:2>1:4=48269.907734
quiet	48272.237058	48270.408084	running	1:3>3:1=48269.907748,1:4>4:2=48269.907758,2:3>4:1=48269.907755,2:4>3:2=48269.907751,3:1>1:3=48269.907714,3:2>2:4=48269.907743,4:1>2:3=48269.907739,4:2>1:4=48269.907734
quiet	48272.337375	48270.408084	running	1:3>3:1=48269.907748,1:4>4:2=48269.907758,2:3>4:1=48269.907755,2:4>3:2=48269.907751,3:1>1:3=48269.907714,3:2>2:4=48269.907743,4:1>2:3=48269.907739,4:2>1:4=48269.907734
quiet	48272.437704	48270.408084	running	1:3>3:1=48269.907748,1:4>4:2=48269.907758,2:3>4:1=48269.907755,2:4>3:2=48269.907751,3:1>1:3=48269.907714,3:2>2:4=48269.907743,4:1>2:3=48269.907739,4:2>1:4=48269.907734
quiet	48272.538051	48270.408084	running	1:3>3:1=48269.907748,1:4>4:2=48269.907758,2:3>4:1=48269.907755,2:4>3:2=48269.907751,3:1>1:3=48269.907714,3:2>2:4=48269.907743,4:1>2:3=48269.907739,4:2>1:4=48269.907734
