cycle	down_s	up_s	cut_tc_s	collateral	netem_left	phase_mode	cut_plan	cut_delay_s	cut_t0a_mono	cut_t0_mono	cut_lh_mono	cut_phi_s	cut_phi_src	cut_phi_grid_s	cut_tc_a_s	cut_tc_b_s	down_rule_s	down_rpt_s	restore_plan	restore_delay_s	restore_t1a_mono	restore_t1_mono	restore_anchor_mono	restore_tc_s	restore_phi_s	restore_phi_src	restore_phi_grid_s	up_lh_mono	up_rpt_s	up_poll_s
1	14.904	0.075	0.082	OK	no	sweep	0.050	4.317	48319.958293	48320.040085	48319.909120	0.131	heard	0.138	0.024	0.023	14.869	14.867	4.850	4.727	48339.759252	48339.832871	48329.909146	0.074	4.924	heard@plan	4.930	48339.907794	0.575	0.634
2	14.383	0.600	0.084	OK	no	sweep	0.583	4.780	48345.490913	48345.575168	48344.908789	0.666	heard	0.673	0.023	0.022	14.334	14.332	4.317	4.180	48364.224898	48364.308201	48354.907739	0.083	4.400	heard@plan	4.406	48364.907743	1.100	1.136
3	13.804	1.130	0.089	OK	no	sweep	1.117	0.364	48366.024862	48366.113734	48364.907743	1.206	heard	1.211	0.027	0.024	13.794	13.794	3.783	3.671	48383.691856	48383.777720	48374.908742	0.086	3.869	heard@plan	3.875	48384.907766	1.630	1.655
4	13.293	1.663	0.088	OK	no	sweep	1.650	0.900	48386.557880	48386.645757	48384.907766	1.738	heard	1.743	0.026	0.022	13.262	13.262	3.250	3.132	48403.157867	48403.245042	48394.907751	0.087	3.337	heard@plan	3.343	48404.907777	2.163	2.244
5	12.775	2.203	0.094	OK	no	sweep	2.183	1.375	48407.090893	48407.184650	48404.907777	2.277	heard	2.282	0.026	0.028	12.723	12.723	2.717	2.595	48422.624866	48422.705124	48414.907746	0.080	2.797	heard@plan	2.803	48424.907751	2.703	2.750
6	12.277	2.742	0.084	OK	no	sweep	2.717	1.946	48427.624896	48427.709064	48424.907751	2.801	heard	2.807	0.022	0.027	12.199	12.198	2.183	2.022	48442.090858	48442.165305	48434.907741	0.074	2.258	heard@plan	2.263	48444.907751	3.243	3.343
7	11.669	3.259	0.090	OK	no	sweep	3.250	2.407	48448.157874	48448.247998	48444.907751	3.340	heard	3.345	0.025	0.024	11.660	11.659	1.650	1.572	48461.557906	48461.649642	48454.907784	0.092	1.742	heard@plan	1.747	48464.908752	3.759	3.764
8	11.172	3.791	0.108	OK	no	sweep	3.783	3.033	48468.691903	48468.799691	48464.908752	3.891	heard	3.897	0.024	0.025	11.109	11.109	1.117	0.981	48481.024919	48481.116850	48474.907785	0.092	1.209	heard@plan	1.214	48484.907813	4.291	4.365
9	10.681	4.339	0.086	OK	no	sweep	4.317	3.540	48489.224929	48489.311232	48484.907813	4.403	heard	4.409	0.025	0.024	10.597	10.596	0.583	0.429	48500.490870	48500.568702	48494.907761	0.078	0.661	heard@plan	0.666	48504.908074	4.840	4.854
10	10.077	4.864	0.084	OK	no	sweep	4.850	4.137	48509.758218	48509.841761	48504.908074	4.934	heard	4.939	0.027	0.021	10.066	10.067	0.050	4.964	48524.958874	48525.043716	48514.908770	0.085	0.135	heard@plan	0.141	48529.907795	5.364	5.366
