part	poll_mono	written_mono	status	last_heard_mono
single	48577.917785	48576.424054	running	1:3>3:1=48575.923622,3:1>1:3=48575.923580
single	48578.018079	48576.424054	running	1:3>3:1=48575.923622,3:1>1:3=48575.923580
single	48578.118630	48576.424054	running	1:3>3:1=48575.923622,3:1>1:3=48575.923580
single	48578.219053	48576.424054	running	1:3>3:1=48575.923622,3:1>1:3=48575.923580
single	48578.319390	48576.424054	running	1:3>3:1=48575.923622,3:1>1:3=48575.923580
single	48578.419716	48576.424054	running	1:3>3:1=48575.923622,3:1>1:3=48575.923580
single	48578.520066	48576.424054	running	1:3>3:1=48575.923622,3:1>1:3=48575.923580
single	48578.620394	48576.424054	running	1:3>3:1=48575.923622,3:1>1:3=48575.923580
single	48578.720748	48576.424054	running	1:3>3:1=48575.923622,3:1>1:3=48575.923580
single	48578.821063	48576.424054	running	1:3>3:1=48575.923622,3:1>1:3=48575.923580
single	48578.921386	48576.424054	running	1:3>3:1=48575.923622,3:1>1:3=48575.923580
single	48579.021715	48576.424054	running	1:3>3:1=48575.923622,3:1>1:3=48575.923580
single	48579.122079	48576.424054	running	1:3>3:1=48575.923622,3:1>1:3=48575.923580
single	48579.222485	48576.424054	running	1:3>3:1=48575.923622,3:1>1:3=48575.923580
single	48579.322965	48576.424054	running	1:3>3:1=48575.923622,3:1>1:3=48575.923580
single	48579.423439	48576.424054	running	1:3>3:1=48575.923622,3:1>1:3=48575.923580
single	48579.523908	48576.424054	running	1:3>3:1=48575.923622,3:1>1:3=48575.923580
single	48579.624373	48576.424054	running	1:3>3:1=48575.923622,3:1>1:3=48575.923580
single	48579.724802	48576.424054	running	1:3>3:1=48575.923622,3:1>1:3=48575.923580
single	48579.825154	48576.424054	running	1:3>3:1=48575.923622,3:1>1:3=48575.923580
single	48579.925540	48576.424054	running	1:3>3:1=48575.923622,3:1>1:3=48575.923580
single	48580.025970	48576.424054	running	1:3>3:1=48575.923622,3:1>1:3=48575.923580
single	48580.126305	48576.424054	running	1:3>3:1=48575.923622,3:1>1:3=48575.923580
single	48580.226636	48576.424054	running	1:3>3:1=48575.923622,3:1>1:3=48575.923580
single	48580.326986	48576.424054	running	1:3>3:1=48575.923622,3:1>1:3=48575.923580
single	48580.427347	48576.424054	running	1:3>3:1=48575.923622,3:1>1:3=48575.923580
single	48580.527774	48576.424054	running	1:3>3:1=48575.923622,3:1>1:3=48575.923580
single	48580.628108	48576.424054	running	1:3>3:1=48575.923622,3:1>1:3=48575.923580
single	48580.728439	48576.424054	running	1:3>3:1=48575.923622,3:1>1:3=48575.923580
single	48580.828776	48576.424054	running	1:3>3:1=48575.923622,3:1>1:3=48575.923580
single	48580.929099	48580.922372	running	1:3>3:1=48575.923622,3:1>1:3=48575.923580
single	48581.029460	48580.922372	running	1:3>3:1=48575.923622,3:1>1:3=48575.923580
single	48581.129808	48580.922372	running	1:3>3:1=48575.923622,3:1>1:3=48575.923580
single	48581.230136	48580.922372	running	1:3>3:1=48575.923622,3:1>1:3=48575.923580
single	48581.330529	48580.922372	running	1:3>3:1=48575.923622,3:1>1:3=48575.923580
single	48581.430842	48581.423059	running	1:3>3:1=48575.923622,3:1>1:3=48580.922712
single	48581.531171	48581.423059	running	1:3>3:1=48575.923622,3:1>1:3=48580.922712
single	48581.631495	48581.423059	running	1:3>3:1=48575.923622,3:1>1:3=48580.922712
single	48581.731869	48581.423059	running	1:3>3:1=48575.923622,3:1>1:3=48580.922712
single	48581.832204	48581.423059	running	1:3>3:1=48575.923622,3:1>1:3=48580.922712
single	48581.932541	48581.423059	running	1:3>3:1=48575.923622,3:1>1:3=48580.922712
single	48582.032885	48581.423059	running	1:3>3:1=48575.923622,3:1>1:3=48580.922712
single	48582.133227	48581.423059	running	1:3>3:1=48575.923622,3:1>1:3=48580.922712
single	48582.233568	48581.423059	running	1:3>3:1=48575.923622,3:1>1:3=48580.922712
single	48582.333907	48581.423059	running	1:3>3:1=48575.923622,3:1>1:3=48580.922712
single	48582.434262	48581.423059	running	1:3>3:1=48575.923622,3:1>1:3=48580.922712
single	48582.534748	48581.423059	running	1:3>3:1=48575.923622,3:1>1:3=48580.922712
single	48582.635204	48581.423059	running	1:3>3:1=48575.923622,3:1>1:3=48580.922712
single	48582.735553	48581.423059	running	1:3>3:1=48575.923622,3:1>1:3=48580.922712
single	48582.835882	48581.423059	running	1:3>3:1=48575.923622,3:1>1:3=48580.922712
single	48582.936225	48581.423059	running	1:3>3:1=48575.923622,3:1>1:3=48580.922712
single	48583.036562	48581.423059	running	1:3>3:1=48575.923622,3:1>1:3=48580.922712
single	48583.136919	48581.423059	running	1:3>3:1=48575.923622,3:1>1:3=48580.922712
single	48583.237248	48581.423059	running	1:3>3:1=48575.923622,3:1>1:3=48580.922712
single	48583.337620	48581.423059	running	1:3>3:1=48575.923622,3:1>1:3=48580.922712
single	48583.438078	48581.423059	running	1:3>3:1=48575.923622,3:1>1:3=48580.922712
single	48583.538406	48581.423059	running	1:3>3:1=48575.923622,3:1>1:3=48580.922712
single	48583.638747	48581.423059	running	1:3>3:1=48575.923622,3:1>1:3=48580.922712
single	48583.739170	48581.423059	running	1:3>3:1=48575.923622,3:1>1:3=48580.922712
single	48583.839527	48581.423059	running	1:3>3:1=48575.923622,3:1>1:3=48580.922712
single	48583.939873	48581.423059	running	1:3>3:1=48575.923622,3:1>1:3=48580.922712
single	48584.040349	48581.423059	running	1:3>3:1=48575.923622,3:1>1:3=48580.922712
single	48584.140675	48581.423059	running	1:3>3:1=48575.923622,3:1>1:3=48580.922712
single	48584.241038	48581.423059	running	1:3>3:1=48575.923622,3:1>1:3=48580.922712
single	48584.341380	48581.423059	running	1:3>3:1=48575.923622,3:1>1:3=48580.922712
single	48584.441730	48581.423059	running	1:3>3:1=48575.923622,3:1>1:3=48580.922712
single	48584.542062	48581.423059	running	1:3>3:1=48575.923622,3:1>1:3=48580.922712
single	48584.642393	48581.423059	running	1:3>3:1=48575.923622,3:1>1:3=48580.922712
single	48584.742725	48581.423059	running	1:3>3:1=48575.923622,3:1>1:3=48580.922712
single	48584.843056	48581.423059	running	1:3>3:1=48575.923622,3:1>1:3=48580.922712
single	48584.943364	48581.423059	running	1:3>3:1=48575.923622,3:1>1:3=48580.922712
single	48585.043706	48581.423059	running	1:3>3:1=48575.923622,3:1>1:3=48580.922712
single	48585.144054	48581.423059	running	1:3>3:1=48575.923622,3:1>1:3=48580.922712
single	48585.244374	48581.423059	running	1:3>3:1=48575.923622,3:1>1:3=48580.922712
single	48585.344705	48581.423059	running	1:3>3:1=48575.923622,3:1>1:3=48580.922712
single	48585.445060	48581.423059	running	1:3>3:1=48575.923622,3:1>1:3=48580.922712
single	48585.545432	48581.423059	running	1:3>3:1=48575.923622,3:1>1:3=48580.922712
single	48585.645882	48581.423059	running	1:3>3:1=48575.923622,3:1>1:3=48580.922712
single	48585.746248	48581.423059	running	1:3>3:1=48575.923622,3:1>1:3=48580.922712
single	48585.846732	48581.423059	running	1:3>3:1=48575.923622,3:1>1:3=48580.922712
single	48585.947071	48585.922319	running	1:3>3:1=48575.923622,3:1>1:3=48580.922712
single	48586.047507	48585.922319	running	1:3>3:1=48575.923622,3:1>1:3=48580.922712
single	48586.147841	48585.922319	running	1:3>3:1=48575.923622,3:1>1:3=48580.922712
single	48586.248186	48585.922319	running	1:3>3:1=48575.923622,3:1>1:3=48580.922712
single	48586.348518	48585.922319	running	1:3>3:1=48575.923622,3:1>1:3=48580.922712
single	48586.448857	48586.423035	running	1:3>3:1=48575.923622,3:1>1:3=48585.922676
single	48586.549212	48586.423035	running	1:3>3:1=48575.923622,3:1>1:3=48585.922676
single	48586.649643	48586.423035	running	1:3>3:1=48575.923622,3:1>1:3=48585.922676
single	48586.749986	48586.423035	running	1:3>3:1=48575.923622,3:1>1:3=48585.922676
single	48586.850332	48586.423035	running	1:3>3:1=48575.923622,3:1>1:3=48585.922676
single	48586.950661	48586.423035	running	1:3>3:1=48575.923622,3:1>1:3=48585.922676
single	48587.051008	48586.423035	running	1:3>3:1=48575.923622,3:1>1:3=48585.922676
single	48587.151349	48586.423035	running	1:3>3:1=48575.923622,3:1>1:3=48585.922676
single	48587.251689	48586.423035	running	1:3>3:1=48575.923622,3:1>1:3=48585.922676
single	48587.352029	48586.423035	running	1:3>3:1=48575.923622,3:1>1:3=48585.922676
single	48587.452358	48586.423035	running	1:3>3:1=48575.923622,3:1>1:3=48585.922676
single	48587.552713	48586.423035	running	1:3>3:1=48575.923622,3:1>1:3=48585.922676
single	48587.653062	48586.423035	running	1:3>3:1=48575.923622,3:1>1:3=48585.922676
single	48587.753420	48586.423035	running	1:3>3:1=48575.923622,3:1>1:3=48585.922676
single	48587.853819	48586.423035	running	1:3>3:1=48575.923622,3:1>1:3=48585.922676
single	48587.954147	48586.423035	running	1:3>3:1=48575.923622,3:1>1:3=48585.922676
single	48588.054483	48586.423035	running	1:3>3:1=48575.923622,3:1>1:3=48585.922676
single	48588.154807	48586.423035	running	1:3>3:1=48575.923622,3:1>1:3=48585.922676
