part	poll_mono	written_mono	status	last_heard_mono
cut	48921.882588	48921.423704	running	1:3>3:1=48920.923111,3:1>1:3=48920.923059
cut	48921.982867	48921.423704	running	1:3>3:1=48920.923111,3:1>1:3=48920.923059
cut	48922.083277	48921.423704	running	1:3>3:1=48920.923111,3:1>1:3=48920.923059
cut	48922.183587	48921.423704	running	1:3>3:1=48920.923111,3:1>1:3=48920.923059
cut	48922.283882	48921.423704	running	1:3>3:1=48920.923111,3:1>1:3=48920.923059
cut	48922.384420	48921.423704	running	1:3>3:1=48920.923111,3:1>1:3=48920.923059
cut	48922.484747	48921.423704	running	1:3>3:1=48920.923111,3:1>1:3=48920.923059
cut	48922.585060	48921.423704	running	1:3>3:1=48920.923111,3:1>1:3=48920.923059
cut	48922.685384	48921.423704	running	1:3>3:1=48920.923111,3:1>1:3=48920.923059
cut	48922.785749	48921.423704	running	1:3>3:1=48920.923111,3:1>1:3=48920.923059
cut	48922.886072	48921.423704	running	1:3>3:1=48920.923111,3:1>1:3=48920.923059
cut	48922.986358	48921.423704	running	1:3>3:1=48920.923111,3:1>1:3=48920.923059
cut	48923.086733	48921.423704	running	1:3>3:1=48920.923111,3:1>1:3=48920.923059
cut	48923.187074	48921.423704	running	1:3>3:1=48920.923111,3:1>1:3=48920.923059
cut	48923.287417	48921.423704	running	1:3>3:1=48920.923111,3:1>1:3=48920.923059
cut	48923.387759	48921.423704	running	1:3>3:1=48920.923111,3:1>1:3=48920.923059
cut	48923.488053	48921.423704	running	1:3>3:1=48920.923111,3:1>1:3=48920.923059
cut	48923.588367	48921.423704	running	1:3>3:1=48920.923111,3:1>1:3=48920.923059
cut	48923.688724	48921.423704	running	1:3>3:1=48920.923111,3:1>1:3=48920.923059
cut	48923.789173	48921.423704	running	1:3>3:1=48920.923111,3:1>1:3=48920.923059
cut	48923.889493	48921.423704	running	1:3>3:1=48920.923111,3:1>1:3=48920.923059
cut	48923.989802	48921.423704	running	1:3>3:1=48920.923111,3:1>1:3=48920.923059
cut	48924.090121	48921.423704	running	1:3>3:1=48920.923111,3:1>1:3=48920.923059
cut	48924.190684	48921.423704	running	1:3>3:1=48920.923111,3:1>1:3=48920.923059
cut	48924.291464	48921.423704	running	1:3>3:1=48920.923111,3:1>1:3=48920.923059
cut	48924.391789	48921.423704	running	1:3>3:1=48920.923111,3:1>1:3=48920.923059
cut	48924.492141	48921.423704	running	1:3>3:1=48920.923111,3:1>1:3=48920.923059
cut	48924.592455	48921.423704	running	1:3>3:1=48920.923111,3:1>1:3=48920.923059
cut	48924.692794	48921.423704	running	1:3>3:1=48920.923111,3:1>1:3=48920.923059
cut	48924.793113	48921.423704	running	1:3>3:1=48920.923111,3:1>1:3=48920.923059
cut	48924.893457	48921.423704	running	1:3>3:1=48920.923111,3:1>1:3=48920.923059
cut	48924.993778	48921.423704	running	1:3>3:1=48920.923111,3:1>1:3=48920.923059
cut	48925.094062	48921.423704	running	1:3>3:1=48920.923111,3:1>1:3=48920.923059
cut	48925.194618	48921.423704	running	1:3>3:1=48920.923111,3:1>1:3=48920.923059
cut	48925.294955	48921.423704	running	1:3>3:1=48920.923111,3:1>1:3=48920.923059
cut	48925.395514	48921.423704	running	1:3>3:1=48920.923111,3:1>1:3=48920.923059
cut	48925.495845	48921.423704	running	1:3>3:1=48920.923111,3:1>1:3=48920.923059
cut	48925.596406	48921.423704	running	1:3>3:1=48920.923111,3:1>1:3=48920.923059
cut	48925.696733	48921.423704	running	1:3>3:1=48920.923111,3:1>1:3=48920.923059
cut	48925.797057	48921.423704	running	1:3>3:1=48920.923111,3:1>1:3=48920.923059
cut	48925.897402	48921.423704	running	1:3>3:1=48920.923111,3:1>1:3=48920.923059
cut	48925.997837	48925.922879	running	1:3>3:1=48920.923111,3:1>1:3=48920.923059
cut	48926.098319	48925.922879	running	1:3>3:1=48920.923111,3:1>1:3=48920.923059
cut	48926.198671	48925.922879	running	1:3>3:1=48920.923111,3:1>1:3=48920.923059
cut	48926.299012	48925.922879	running	1:3>3:1=48920.923111,3:1>1:3=48920.923059
cut	48926.399522	48925.922879	running	1:3>3:1=48920.923111,3:1>1:3=48920.923059
cut	48926.499850	48926.424065	running	1:3>3:1=48920.923111,3:1>1:3=48920.923059
cut	48926.600413	48926.424065	running	1:3>3:1=48920.923111,3:1>1:3=48920.923059
cut	48926.700707	48926.424065	running	1:3>3:1=48920.923111,3:1>1:3=48920.923059
cut	48926.801011	48926.424065	running	1:3>3:1=48920.923111,3:1>1:3=48920.923059
cut	48926.901533	48926.424065	running	1:3>3:1=48920.923111,3:1>1:3=48920.923059
cut	48927.002068	48926.424065	running	1:3>3:1=48920.923111,3:1>1:3=48920.923059
