elapsed	bytes	latency_s	ryu_recvq_max	ovs_sendq_max	estab
0	35549	0.038	0	12480	20
2	35535	0.039	0	0	20
3	35519	0.034	0	0	20
4	35549	0.043	0	0	20
5	35549	0.042	0	0	20
6	35518	0.044	0	0	20
7	35549	0.097	0	0	20
8	35537	0.036	0	0	20
9	35533	0.045	0	0	20
10	35548	0.033	0	0	20
11	35534	0.053	0	0	20
12	35512	0.034	0	0	20
13	35538	0.033	0	0	20
14	35549	0.042	0	0	20
16	35519	0.042	0	102	20
17	35533	0.037	0	0	20
18	35549	0.044	0	0	20
19	35534	0.045	0	0	20
20	35533	0.045	0	0	20
21	35527	0.046	0	0	20
22	35533	0.067	0	0	20
23	0	0.008	0	0	0
24	0	0.009	0	0	0
25	0	0.008	0	0	0
26	0	0.009	0	0	0
27	0	0.019	0	0	20
28	35526	0.056	0	0	20
29	35530	0.041	0	0	20
30	35541	0.042	0	0	20
32	35509	0.044	0	0	20
33	35539	0.039	0	0	20
34	35541	0.031	0	0	20
35	35488	0.042	0	0	20
36	35525	0.044	0	0	20
38	9	1.009	12582	0	20
40	9	1.011	25062	0	20
42	9	1.011	37542	0	20
44	9	1.012	62502	0	20
46	9	1.011	75186	0	20
48	9	1.011	84914	2752	20
50	9	1.011	84914	15232	20
52	9	1.012	84914	27712	20
54	9	1.012	84914	40396	20
56	9	1.011	84914	52876	20
58	9	1.011	84914	65692	20
60	9	1.012	84914	78274	20
62	9	1.011	84914	90856	20
64	9	1.010	84914	115816	20
67	9	1.009	84914	128296	20
69	9	1.011	84914	140878	20
71	9	1.010	84914	153460	20
73	9	1.010	84914	165940	20
75	9	1.012	84914	178420	20
77	9	1.010	84914	191002	20
79	9	1.011	84914	203584	20
81	9	1.011	84914	216064	20
83	9	1.011	84914	241024	20
85	9	1.013	84914	253606	20
87	9	1.011	84914	266188	20
90	9	1.814	84914	278668	20
92	9	1.009	84812	291148	20
94	9	1.012	84812	303628	20
96	9	1.011	84812	316312	20
98	9	1.011	84812	328792	20
100	9	1.011	84812	341272	20
102	9	1.010	84812	353752	20
104	9	1.012	84812	366436	20
106	9	1.012	84812	391396	20
108	9	1.011	84812	403876	20
110	9	1.012	84812	416356	20
112	9	1.011	84812	429040	20
114	9	1.012	84812	441520	20
116	9	1.010	84812	454000	20
118	9	1.011	84812	466480	20
120	9	1.011	84812	479164	20
122	9	1.011	84812	491644	20
125	9	1.011	84812	516604	20
127	9	1.012	84812	529084	20
129	9	1.010	84812	541768	20
131	9	1.011	84812	554248	20
133	9	1.011	84812	567756	20
135	9	1.011	84812	581264	20
137	9	1.011	84812	593948	20
139	9	1.011	84812	606428	20
141	9	1.012	84812	618908	20
143	9	1.014	84812	631388	20
145	9	1.011	84812	656552	20
147	9	1.014	84812	669032	20
149	9	1.010	84812	681512	20
151	9	1.012	84812	693992	20
153	9	1.011	84812	706676	20
155	9	1.025	84904	719156	20
157	9	1.012	85014	731636	20
159	9	1.011	85116	744116	20
161	9	1.012	85218	756800	20
163	9	1.011	85320	769280	20
165	9	1.011	85430	794240	20
167	9	1.010	87940	806720	20
170	9	1.009	89730	819404	20
172	9	1.011	90120	831884	20
174	9	1.011	90120	844364	20
176	9	1.011	90120	856844	20
178	9	1.011	90120	869528	20
180	9	1.011	90120	882008	20
182	9	1.011	90120	894488	20
184	9	1.011	90120	906968	20
186	9	1.011	90120	932132	20
188	9	1.010	90120	944612	20
190	9	1.012	90120	957092	20
192	9	1.013	90120	969572	20
194	9	1.011	90120	982256	20
196	9	1.011	90120	994736	20
198	9	1.011	90120	1007216	20
200	9	1.012	90120	1019696	20
202	9	1.012	90120	1032380	20
204	9	1.011	90120	1044860	20
206	9	1.010	90120	1069820	20
208	9	1.010	90120	1082300	20
210	9	1.011	90120	1094984	20
212	9	1.010	90120	1107464	20
214	9	1.012	90120	1119944	20
217	9	1.011	90120	1132526	20
219	9	1.010	90120	1145108	20
221	9	1.010	90120	1157588	20
223	9	1.011	90120	1170068	20
225	9	1.011	90120	1182650	20
227	9	1.012	90120	1207712	20
229	9	1.011	90120	1220192	20
231	9	1.011	90120	1232672	20
233	9	1.011	90120	1245254	20
235	9	1.010	90120	1257836	20
237	9	1.011	90120	1270316	20
239	9	1.023	90120	1282796	20
241	9	1.011	90120	1295378	20
243	9	1.011	90120	1307960	20
245	9	1.011	90120	1332920	20
247	9	1.010	90120	1345400	20
249	9	1.011	90120	1357982	20
251	9	1.010	90120	1371078	20
253	9	1.010	90120	1384586	20
255	9	1.010	90120	1397580	20
257	9	1.011	90120	1410162	20
259	9	1.016	90120	1422744	20
261	9	1.011	90120	1435224	20
264	9	1.010	90120	1447704	20
266	9	1.010	90120	1472868	20
268	9	1.010	90120	1485348	20
270	9	1.008	90120	1497828	20
272	9	1.010	90120	1510308	20
274	9	1.010	90120	1522992	20
