# HEAD 851cefd79e26ee2fb481e461a7bd77ebaeb5b329  venv /home/adam/Desktop/NDTwin-Kernel/p4_proxy/venv  file = 62f76cf58b042c93f6a5adb0aa3a499105e8bd66:p4_proxy/requirements.txt  2026-09-25T09:37:51Z
# $ python3 check_pins_vs_venv.py <file> <pip freeze of /home/adam/Desktop/NDTwin-Kernel/p4_proxy/venv> --allow googleapis-common-protos
FLOOR(names no tested version)   grpcio                       file >=1.50.0         venv 1.82.1
MATCH                            protobuf                     file ==3.20.3         venv 3.20.3
MISMATCH                         p4runtime                    file ==1.4.1          venv 1.5.0
FLOOR(names no tested version)   fastapi                      file >=0.95.0         venv 0.139.2
FLOOR(names no tested version)   uvicorn                      file >=0.22.0         venv 0.51.0
FLOOR(names no tested version)   networkx                     file >=3.0            venv 3.6.1
FLOOR(names no tested version)   requests                     file >=2.28           venv 2.34.2
MATCH                            hypothesis                   file ==6.165.5        venv 6.165.5
MATCH                            thrift                       file ==0.24.0         venv 0.24.0
RESULT: RED (6 line(s) do not describe the venv)
# rc=1
