### judge item 7: confirmation-only CPU vs climb CPU, every re-confirmed rung of the fifth campaign (DESCRIPTIVE, no verdict)
# when: 2026-09-24 12:04:07 UTC  analyse.py at 93033c44 sha256 68c7dea1e7f3
arm                     kpps | climb losses (%)           kernel     bmv2  prx+emt | confirmation losses (%)    kernel     bmv2  prx+emt | confirmation
none_f1024_a              30 | 0.3338 0.1533 1.7410        0.549   305.32    2.431 | 0.9305 0.4000 0.2429        0.667   294.11    2.157 | passed (median 0.4000)
none_f64_a                30 | 0.1571 0.1525 0.3859        0.577   286.99    2.923 | 1.1230 0.1875 0.0825        0.615   290.91    2.769 | passed (median 0.1875)
cooperative_f1024_a       12 | 0.0761 0.0375 0.1698        3.646   138.61   11.018 | 0.0073 0.1469 0.0688        3.692   135.86   10.729 | passed (median 0.0688)
cooperative_f64_a         12 | 0.7199 0.2240 0.0750        3.692   137.86   10.921 | 0.0167 0.0000 0.2188        3.411   139.41   10.311 | passed (median 0.0167)
link_f1024_a              12 | 0.1771 0.0031 0.7771        2.666   140.06    5.725 | 0.0396 0.0000 0.0042        2.627   135.23    5.019 | passed (median 0.0042)
link_f64_a                12 | 0.1042 0.1198 0.0031        2.588   131.67    5.411 | 1.0064 0.0000 0.4240        2.653   138.63    5.422 | passed (median 0.4240)
link_f64_a                20 | 0.0563 0.0569 0.6107        3.725   207.61    6.705 | 2.2540 0.5507 1.6439        3.882   221.56    7.293 | FAILED (median 1.6439)
link_f64_a                30 | 0.0925 0.0717 1.6326        4.823   299.51    8.547 | 0.5046 1.6543 1.1589        4.783   320.41    8.861 | FAILED (median 1.1589)
link_f1024_b              20 | 0.0138 0.0281 0.3869        4.588   212.16    7.019 | 0.0119 0.0188 0.1019        4.783   219.92    8.351 | passed (median 0.0188)
link_f64_b                20 | 0.0219 0.3363 0.0406        4.823   213.65    7.960 | 0.1538 0.5769 0.0194        4.823   212.40    7.450 | passed (median 0.1538)
cooperative_f1024_b       30 | 0.3825 0.5271 0.2154        6.509   300.23   19.173 | 1.0785 0.1913 0.0825        6.587   316.06   19.643 | passed (median 0.1913)
cooperative_f64_b         30 | 0.1058 0.5413 0.1271        6.509   298.45   18.624 | 0.4613 0.2688 0.3054        6.901   314.81   20.428 | passed (median 0.3054)
none_f1024_b              30 | 0.3800 0.3509 0.5792        0.654   306.79    2.153 | 0.1725 0.0888 0.3525        0.588   302.14    2.156 | passed (median 0.1725)
none_f64_b                30 | 0.1667 0.2092 0.3230        0.667   291.33    2.274 | 0.1188 0.4476 0.1871        0.627   287.98    2.352 | passed (median 0.1871)
### rc=0
